technique: CV
potential: 0.1
current: 1e-06
ref: RE
duration: 10000
dt: 1
dE: 1
dI: 0.001
scanRate: 0.025
ei: 0
e1: 0.35
e2: -0.2
ef: 0
cycle: 1
iRange: 12
eRange: 0
bandwith: 8

Time (s), E vs Ref (V), I (A), Cycle
0.20115000304940622,-0.011692766100168228,-0.00041436200262978673,0
0.40225500609813025,0.006714954972267151,-0.00028207647847011685,0
0.6033600091468543,0.011868443340063095,-0.00020672882965300232,0
0.8044650121955783,0.016957812011241913,-0.00014821140212006867,0
1.0055700152443023,0.02202519029378891,-0.0001023429722408764,0
1.2066750182930264,0.028165632858872414,-6.749845488229766e-05,0
1.4077800213417504,0.03193575516343117,-5.112784492666833e-05,0
1.6088850243904744,0.037020664662122726,-3.500384991639294e-05,0
1.8099900274391985,0.042126793414354324,-2.388717075518798e-05,0
2.0110950304879225,0.04721016809344292,-1.5774530766066164e-05,0
2.2122000335366465,0.052270546555519104,-9.70403471001191e-06,0
2.4133050365853705,0.05732946842908859,-5.085012617200846e-06,0
2.6144100396340946,0.06237170472741127,-1.543519147162442e-06,0
2.8155150426828186,0.06737589091062546,1.2951936696481425e-06,0
3.0165750457308604,0.07241714745759964,3.867902705678716e-06,0
3.2176800487795845,0.07741577178239822,6.605931957892608e-06,0
3.4187850518283085,0.08243556320667267,9.819619663176127e-06,0
3.6198900548770325,0.0874529704451561,1.3531555850931909e-05,0
3.8209950579257566,0.09249912202358246,1.7559957996127196e-05,0
4.022100060974481,0.09751468151807785,2.1719029973610304e-05,0
4.223205064023205,0.10253370553255081,2.599096296762582e-05,0
4.424310067071929,0.1075538769364357,3.0386261641979218e-05,0
4.625415070120653,0.11257728189229965,3.491963798296638e-05,0
4.826520073169377,0.11759914457798004,3.961775291827507e-05,0
5.027625076218101,0.12261731922626495,4.4493950554169714e-05,0
5.228730079266825,0.12765011191368103,4.9518032028572634e-05,0
5.429835082315549,0.1326788067817688,5.4666037613060325e-05,0
5.630940085364273,0.13771727681159973,5.969515768811107e-05,0
5.832000088412315,0.14274373650550842,6.44755782559514e-05,0
6.033105091461039,0.1477806121110916,6.88131112838164e-05,0
6.234210094509763,0.1528068631887436,7.261311839101836e-05,0
6.435315097558487,0.15785910189151764,7.590222958242521e-05,0
6.636420100607211,0.16287542879581451,7.882746285758913e-05,0
6.837525103655935,0.16788260638713837,8.196233829949051e-05,0
7.038630106704659,0.17287708818912506,8.627495844848454e-05,0
7.239735109753383,0.17787513136863708,9.202968067256734e-05,0
7.440840112802107,0.18289245665073395,9.829261398408562e-05,0
7.641945115850831,0.18795321881771088,0.00010383109474787489,0
7.843050118899555,0.19300337135791779,0.00010800093150464818,0
8.044155121948279,0.19883252680301666,0.00011133852240163833,0
8.245260124997003,0.203165203332901,0.0001126416536862962,0
8.446365128045727,0.2081807553768158,0.0001154627461801283,0
8.647425131093769,0.21320460736751556,0.00011783651279984042,0
8.848530134142493,0.21824508905410767,0.00011990769417025149,0
9.049635137191217,0.22327886521816254,0.00012137493467889726,0
9.250740140239941,0.2283075749874115,0.00012215763854328543,0
9.451845143288665,0.23335127532482147,0.00012196661555208266,0
9.652950146337389,0.23836137354373932,0.0001207348468597047,0
9.854055149386113,0.24338500201702118,0.00011842452659038827,0
10.055160152434837,0.24842524528503418,0.0001151152973761782,0
10.256265155483561,0.2534518241882324,0.00011101181735284626,0
10.457370158532285,0.258490651845932,0.00010640111577231437,0
10.65847516158101,0.26352745294570923,0.00010152424511034042,0
10.859580164629733,0.2685675323009491,9.656349720899016e-05,0
11.060685167678457,0.2735876142978668,9.177611354971305e-05,0
11.261790170727181,0.2786153256893158,8.728242391953245e-05,0
11.462850173775223,0.28363296389579773,8.313111902680248e-05,0
11.663955176823947,0.28864720463752747,7.935272151371464e-05,0
11.865060179872671,0.29367977380752563,7.596341311000288e-05,0
12.066165182921395,0.29869747161865234,7.288854976650327e-05,0
12.26727018597012,0.30374181270599365,7.01712051522918e-05,0
12.468375189018843,0.30876097083091736,6.772491906303912e-05,0
12.669480192067567,0.31279316544532776,6.576123269042e-05,0
12.870585195116291,0.31887227296829224,6.421976286219433e-05,0
13.071690198165015,0.3238923251628876,6.216204928932711e-05,0
13.27279520121374,0.3288871645927429,6.0610433138208464e-05,0
13.473900204262463,0.33392125368118286,5.9267338656354696e-05,0
13.675005207311187,0.33894267678260803,5.8100573369301856e-05,0
13.876110210359911,0.34396493434906006,5.7090222981059924e-05,0
