technique: CV
potential: 0.1
current: 1e-06
ref: RE
duration: 10000
dt: 1
dE: 1
dI: 0.001
scanRate: 0.025
ei: 0
e1: 0.35
e2: -0.2
ef: 0
cycle: 0
iRange: 12
eRange: 0
bandwith: 8

Time (s), E vs Ref (V), I (A), Cycle
9.000000136438757e-05,0.7139056921005249,1.1131613408821295e-09,0
0.6033600091468543,0.012589589692652225,3.1185004665396088e-12,0
0.8044650121955783,0.01695222221314907,1.911705602847258e-12,0
1.0055700152443023,0.02205565944314003,6.922175506407502e-13,0
1.2066750182930264,0.027232520282268524,2.436245920712371e-13,0
1.4077800213417504,0.032427605241537094,-2.921071316688145e-13,0
1.6088850243904744,0.03755948692560196,-4.716462138378008e-13,0
1.8099900274391985,0.04272366315126419,-6.769933463650346e-13,0
2.0110950304879225,0.047833096235990524,-8.018222045526324e-13,0
2.2122000335366465,0.05270034819841385,-7.536535956940982e-13,0
2.4133050365853705,0.05765993520617485,-7.030751306667804e-13,0
2.6144100396340946,0.06253787130117416,-5.49419071436269e-13,0
2.8155150426828186,0.0674028992652893,-4.99597108474803e-13,0
3.0166200457315426,0.0722397044301033,-1.0915841662647793e-13,0
3.2177250487802667,0.0771184116601944,-1.1523837507615604e-14,0
3.4188300518289907,0.0820278748869896,2.8181436676454064e-13,0
3.6198900548770325,0.0870966836810112,4.0714079243414636e-13,0
3.8209950579257566,0.09241881221532822,1.1263397576817893e-13,0
4.022100060974481,0.09744305163621902,3.6764894514179636e-13,0
4.223205064023205,0.10261230170726776,1.5901556872470468e-13,0
4.424310067071929,0.10784060508012772,-3.819097070382506e-14,0
4.625415070120653,0.11297032982110977,-4.1745965950572284e-13,0
4.826520073169377,0.11814519762992859,-4.785030336372509e-13,0
5.027625076218101,0.12312030792236328,-3.9571175654805335e-13,0
5.228730079266825,0.1280772089958191,-3.137317879445267e-13,0
5.429835082315549,0.1332433968782425,-7.472692169913087e-13,0
5.630940085364273,0.1379714012145996,-7.666858684376998e-13,0
5.832045088412997,0.14280743896961212,-3.5182913440262586e-13,0
